ubicageo_d,entidad_c,entifed1,municip1,mariamtt,mariam1,mariam2
7010,7,CHIAPAS,BEJUCAL DE OCAMPO,0,0,0
7011,7,CHIAPAS,BELLA VISTA,0,0,0
7012,7,CHIAPAS,BERRIOZÁBAL,0,0,0
7013,7,CHIAPAS,BOCHIL,0,0,0
7014,7,CHIAPAS,EL BOSQUE,0,0,0
7015,7,CHIAPAS,CACAHOATÁN,0,0,0
7016,7,CHIAPAS,CATAZAJÁ,0,0,0
7017,7,CHIAPAS,CINTALAPA,0,0,0
7018,7,CHIAPAS,COAPILLA,0,0,0
7019,7,CHIAPAS,COMITÁN DE DOMÍNGUEZ,0,0,0
7020,7,CHIAPAS,LA CONCORDIA,0,0,0
7021,7,CHIAPAS,COPAINALÁ,0,0,0
7022,7,CHIAPAS,CHALCHIHUITÁN,0,0,0
7023,7,CHIAPAS,CHAMULA,0,0,0
7024,7,CHIAPAS,CHANAL,0,0,0
7025,7,CHIAPAS,CHAPULTENANGO,0,0,0
7026,7,CHIAPAS,CHENALHÓ,0,0,0
7027,7,CHIAPAS,CHIAPA DE CORZO,0,0,0
7028,7,CHIAPAS,CHIAPILLA,0,0,0
7029,7,CHIAPAS,CHICOASÉN,0,0,0
7030,7,CHIAPAS,CHICOMUSELO,0,0,0
7031,7,CHIAPAS,CHILÓN,0,0,0
7032,7,CHIAPAS,ESCUINTLA,0,0,0
7033,7,CHIAPAS,FRANCISCO LEÓN,0,0,0
7034,7,CHIAPAS,FRONTERA COMALAPA,0,0,0
7035,7,CHIAPAS,FRONTERA HIDALGO,0,0,0
7036,7,CHIAPAS,LA GRANDEZA,0,0,0
7037,7,CHIAPAS,HUEHUETÁN,0,0,0
7038,7,CHIAPAS,HUIXTÁN,0,0,0
7039,7,CHIAPAS,HUITIUPÁN,0,0,0
7040,7,CHIAPAS,HUIXTLA,0,0,0
7041,7,CHIAPAS,LA INDEPENDENCIA,0,0,0
7042,7,CHIAPAS,IXHUATÁN,0,0,0
7043,7,CHIAPAS,IXTACOMITÁN,0,0,0
7044,7,CHIAPAS,IXTAPA,0,0,0
7045,7,CHIAPAS,IXTAPANGAJOYA,0,0,0
7046,7,CHIAPAS,JIQUIPILAS,0,0,0
7047,7,CHIAPAS,JITOTOL,0,0,0
7048,7,CHIAPAS,JUÁREZ,0,0,0
7049,7,CHIAPAS,LARRÁINZAR,0,0,0
7050,7,CHIAPAS,LA LIBERTAD,0,0,0
7051,7,CHIAPAS,MAPASTEPEC,0,0,0
7052,7,CHIAPAS,LAS MARGARITAS,0,0,0
7053,7,CHIAPAS,MAZAPA DE MADERO,0,0,0
7054,7,CHIAPAS,MAZATÁN,0,0,0
7055,7,CHIAPAS,METAPA,0,0,0
7056,7,CHIAPAS,MITONTIC,0,0,0
7057,7,CHIAPAS,MOTOZINTLA,0,0,0
7058,7,CHIAPAS,NICOLÁS RUÍZ,0,0,0
7059,7,CHIAPAS,OCOSINGO,0,0,0
7060,7,CHIAPAS,OCOTEPEC,0,0,0
7061,7,CHIAPAS,OCOZOCOAUTLA DE ESPINOSA,0,0,0
7062,7,CHIAPAS,OSTUACÁN,0,0,0
7063,7,CHIAPAS,OSUMACINTA,0,0,0
7064,7,CHIAPAS,OXCHUC,0,0,0
7065,7,CHIAPAS,PALENQUE,0,0,0
7066,7,CHIAPAS,PANTELHÓ,0,0,0
7067,7,CHIAPAS,PANTEPEC,0,0,0
7068,7,CHIAPAS,PICHUCALCO,0,0,0
7069,7,CHIAPAS,PIJIJIAPAN,0,0,0
7070,7,CHIAPAS,EL PORVENIR,0,0,0
7071,7,CHIAPAS,VILLA COMALTITLÁN,0,0,0
7072,7,CHIAPAS,PUEBLO NUEVO SOLISTAHUACÁN,0,0,0
7073,7,CHIAPAS,RAYÓN,0,0,0
7074,7,CHIAPAS,REFORMA,0,0,0
7075,7,CHIAPAS,LAS ROSAS,0,0,0
7076,7,CHIAPAS,SABANILLA,0,0,0
7077,7,CHIAPAS,SALTO DE AGUA,0,0,0
7078,7,CHIAPAS,SAN CRISTÓBAL DE LAS CASAS,0,0,0
7079,7,CHIAPAS,SAN FERNANDO,0,0,0
7080,7,CHIAPAS,SILTEPEC,0,0,0
7081,7,CHIAPAS,SIMOJOVEL,0,0,0
7082,7,CHIAPAS,SITALÁ,0,0,0
7083,7,CHIAPAS,SOCOLTENANGO,0,0,0
7084,7,CHIAPAS,SOLOSUCHIAPA,0,0,0
7085,7,CHIAPAS,SOYALÓ,0,0,0
7086,7,CHIAPAS,SUCHIAPA,0,0,0
7087,7,CHIAPAS,SUCHIATE,0,0,0
7088,7,CHIAPAS,SUNUAPA,0,0,0
7089,7,CHIAPAS,TAPACHULA,0,0,0
7090,7,CHIAPAS,TAPALAPA,0,0,0
7091,7,CHIAPAS,TAPILULA,0,0,0
7092,7,CHIAPAS,TECPATÁN,0,0,0
7093,7,CHIAPAS,TENEJAPA,0,0,0
7094,7,CHIAPAS,TEOPISCA,0,0,0
7096,7,CHIAPAS,TILA,0,0,0
7097,7,CHIAPAS,TONALÁ,0,0,0
7098,7,CHIAPAS,TOTOLAPA,0,0,0
7099,7,CHIAPAS,LA TRINITARIA,0,0,0
7100,7,CHIAPAS,TUMBALÁ,0,0,0
7101,7,CHIAPAS,TUXTLA GUTIÉRREZ,0,0,0
7102,7,CHIAPAS,TUXTLA CHICO,0,0,0
7103,7,CHIAPAS,TUZANTÁN,0,0,0
7104,7,CHIAPAS,TZIMOL,0,0,0
7105,7,CHIAPAS,UNIÓN JUÁREZ,0,0,0
7106,7,CHIAPAS,VENUSTIANO CARRANZA,0,0,0
7107,7,CHIAPAS,VILLA CORZO,0,0,0
7108,7,CHIAPAS,VILLAFLORES,0,0,0
7109,7,CHIAPAS,YAJALÓN,0,0,0
7110,7,CHIAPAS,SAN LUCAS,0,0,0
7111,7,CHIAPAS,ZINACANTÁN,0,0,0
7112,7,CHIAPAS,SAN JUAN CANCUC,0,0,0
7113,7,CHIAPAS,ALDAMA,0,0,0
7114,7,CHIAPAS,BENEMÉRITO DE LAS AMÉRICAS,0,0,0
7115,7,CHIAPAS,MARAVILLA TENEJAPA,0,0,0
7116,7,CHIAPAS,MARQUÉS DE COMILLAS,0,0,0
7117,7,CHIAPAS,MONTECRISTO DE GUERRERO,0,0,0
7118,7,CHIAPAS,SAN ANDRÉS DURAZNAL,0,0,0
7119,7,CHIAPAS,SANTIAGO EL PINAR,0,0,0
7120,7,CHIAPAS,CAPITÁN LUIS ÁNGEL VIDAL,0,0,0
7121,7,CHIAPAS,RINCÓN CHAMULA SAN PEDRO,0,0,0
7122,7,CHIAPAS,EL PARRAL,0,0,0
7123,7,CHIAPAS,EMILIANO ZAPATA,0,0,0
7124,7,CHIAPAS,MEZCALAPA,0,0,0
7125,7,CHIAPAS,HONDURAS DE LA SIERRA,0,0,0
7997,7,CHIAPAS,NO ESPECIFICADO,,,
8001,8,CHIHUAHUA,AHUMADA,0,0,0
8002,8,CHIHUAHUA,ALDAMA,3,3,0
8003,8,CHIHUAHUA,ALLENDE,0,0,0
8004,8,CHIHUAHUA,AQUILES SERDÁN,0,0,0
8005,8,CHIHUAHUA,ASCENSIÓN,0,0,0
8006,8,CHIHUAHUA,BACHÍNIVA,0,0,0
8007,8,CHIHUAHUA,BALLEZA,0,0,0
8008,8,CHIHUAHUA,BATOPILAS,0,0,0
8009,8,CHIHUAHUA,BOCOYNA,0,0,0
8010,8,CHIHUAHUA,BUENAVENTURA,0,0,0
8011,8,CHIHUAHUA,CAMARGO,0,0,0
8012,8,CHIHUAHUA,CARICHÍ,0,0,0
8013,8,CHIHUAHUA,CASAS GRANDES,0,0,0
8014,8,CHIHUAHUA,CORONADO,0,0,0
8015,8,CHIHUAHUA,COYAME DEL SOTOL,0,0,0
8016,8,CHIHUAHUA,LA CRUZ,0,0,0
8017,8,CHIHUAHUA,CUAUHTÉMOC,0,0,0
8018,8,CHIHUAHUA,CUSIHUIRIACHI,0,0,0
8019,8,CHIHUAHUA,CHIHUAHUA,0,0,0
8020,8,CHIHUAHUA,CHÍNIPAS,0,0,0
8021,8,CHIHUAHUA,DELICIAS,0,0,0
8022,8,CHIHUAHUA,DR. BELISARIO DOMÍNGUEZ,0,0,0
8023,8,CHIHUAHUA,GALEANA,0,0,0
8024,8,CHIHUAHUA,SANTA ISABEL,0,0,0
8025,8,CHIHUAHUA,GÓMEZ FARÍAS,0,0,0
8026,8,CHIHUAHUA,GRAN MORELOS,0,0,0
8027,8,CHIHUAHUA,GUACHOCHI,0,0,0
8028,8,CHIHUAHUA,GUADALUPE,0,0,0
8029,8,CHIHUAHUA,GUADALUPE Y CALVO,0,0,0
8030,8,CHIHUAHUA,GUAZAPARES,0,0,0
8031,8,CHIHUAHUA,GUERRERO,0,0,0
8032,8,CHIHUAHUA,HIDALGO DEL PARRAL,0,0,0
8033,8,CHIHUAHUA,HUEJOTITÁN,0,0,0
8034,8,CHIHUAHUA,IGNACIO ZARAGOZA,0,0,0
8035,8,CHIHUAHUA,JANOS,0,0,0
8036,8,CHIHUAHUA,JIMÉNEZ,0,0,0
8037,8,CHIHUAHUA,JUÁREZ,0,0,0
8038,8,CHIHUAHUA,JULIMES,0,0,0
8039,8,CHIHUAHUA,LÓPEZ,0,0,0
8040,8,CHIHUAHUA,MADERA,0,0,0
8041,8,CHIHUAHUA,MAGUARICHI,0,0,0
8042,8,CHIHUAHUA,MANUEL BENAVIDES,0,0,0
8043,8,CHIHUAHUA,MATACHÍ,0,0,0
8044,8,CHIHUAHUA,MATAMOROS,0,0,0
8045,8,CHIHUAHUA,MEOQUI,0,0,0
8046,8,CHIHUAHUA,MORELOS,0,0,0
8047,8,CHIHUAHUA,MORIS,0,0,0
8048,8,CHIHUAHUA,NAMIQUIPA,0,0,0
8049,8,CHIHUAHUA,NONOAVA,0,0,0
8050,8,CHIHUAHUA,NUEVO CASAS GRANDES,0,0,0
8051,8,CHIHUAHUA,OCAMPO,0,0,0
8052,8,CHIHUAHUA,OJINAGA,0,0,0
8053,8,CHIHUAHUA,PRAXEDIS G. GUERRERO,0,0,0
8054,8,CHIHUAHUA,RIVA PALACIO,0,0,0
8055,8,CHIHUAHUA,ROSALES,0,0,0
8056,8,CHIHUAHUA,ROSARIO,0,0,0
8057,8,CHIHUAHUA,SAN FRANCISCO DE BORJA,0,0,0
8058,8,CHIHUAHUA,SAN FRANCISCO DE CONCHOS,0,0,0
8059,8,CHIHUAHUA,SAN FRANCISCO DEL ORO,0,0,0
8060,8,CHIHUAHUA,SANTA BÁRBARA,0,0,0
8061,8,CHIHUAHUA,SATEVÓ,0,0,0
8062,8,CHIHUAHUA,SAUCILLO,0,0,0
8063,8,CHIHUAHUA,TEMÓSACHIC,0,0,0
8064,8,CHIHUAHUA,EL TULE,0,0,0
8065,8,CHIHUAHUA,URIQUE,0,0,0
8066,8,CHIHUAHUA,URUACHI,0,0,0
8067,8,CHIHUAHUA,VALLE DE ZARAGOZA,0,0,0
8997,8,CHIHUAHUA,NO ESPECIFICADO,,,
9002,9,CIUDAD DE MÉXICO,AZCAPOTZALCO,0,0,0
9003,9,CIUDAD DE MÉXICO,COYOACÁN,0,0,0
9004,9,CIUDAD DE MÉXICO,CUAJIMALPA DE MORELOS,0,0,0
9005,9,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,0,0,0
9006,9,CIUDAD DE MÉXICO,IZTACALCO,0,0,0
9007,9,CIUDAD DE MÉXICO,IZTAPALAPA,0,0,0
9008,9,CIUDAD DE MÉXICO,LA MAGDALENA CONTRERAS,0,0,0
9009,9,CIUDAD DE MÉXICO,MILPA ALTA,0,0,0
9010,9,CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,0,0,0
9011,9,CIUDAD DE MÉXICO,TLÁHUAC,0,0,0
9012,9,CIUDAD DE MÉXICO,TLALPAN,0,0,0
9013,9,CIUDAD DE MÉXICO,XOCHIMILCO,0,0,0
9014,9,CIUDAD DE MÉXICO,BENITO JUÁREZ,0,0,0
9015,9,CIUDAD DE MÉXICO,CUAUHTÉMOC,0,0,0
9016,9,CIUDAD DE MÉXICO,MIGUEL HIDALGO,0,0,0
9017,9,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,0,0,0
9997,9,CIUDAD DE MÉXICO,NO ESPECIFICADO,,,
10001,10,DURANGO,CANATLÁN,0,0,0
10002,10,DURANGO,CANELAS,0,0,0
10003,10,DURANGO,CONETO DE COMONFORT,0,0,0
10004,10,DURANGO,CUENCAMÉ,0,0,0
10005,10,DURANGO,DURANGO,0,0,0
10006,10,DURANGO,GENERAL SIMÓN BOLÍVAR,0,0,0
10007,10,DURANGO,GÓMEZ PALACIO,0,0,0
10008,10,DURANGO,GUADALUPE VICTORIA,0,0,0
10009,10,DURANGO,GUANACEVÍ,0,0,0
10010,10,DURANGO,HIDALGO,0,0,0
10011,10,DURANGO,INDÉ,0,0,0
10012,10,DURANGO,LERDO,0,0,0
10013,10,DURANGO,MAPIMÍ,0,0,0
10014,10,DURANGO,MEZQUITAL,0,0,0
10015,10,DURANGO,NAZAS,0,0,0
10016,10,DURANGO,NOMBRE DE DIOS,0,0,0
10017,10,DURANGO,OCAMPO,0,0,0
10018,10,DURANGO,EL ORO,0,0,0
10019,10,DURANGO,OTÁEZ,0,0,0
10020,10,DURANGO,PÁNUCO DE CORONADO,0,0,0
10021,10,DURANGO,PEÑÓN BLANCO,0,0,0
10022,10,DURANGO,POANAS,0,0,0
10023,10,DURANGO,PUEBLO NUEVO,0,0,0
10024,10,DURANGO,RODEO,0,0,0
10025,10,DURANGO,SAN BERNARDO,0,0,0
10026,10,DURANGO,SAN DIMAS,0,0,0
10027,10,DURANGO,SAN JUAN DE GUADALUPE,0,0,0
10028,10,DURANGO,SAN JUAN DEL RÍO,0,0,0
10029,10,DURANGO,SAN LUIS DEL CORDERO,0,0,0
10030,10,DURANGO,SAN PEDRO DEL GALLO,0,0,0
10031,10,DURANGO,SANTA CLARA,0,0,0
10032,10,DURANGO,SANTIAGO PAPASQUIARO,0,0,0
10033,10,DURANGO,SÚCHIL,0,0,0
10034,10,DURANGO,TAMAZULA,0,0,0
10035,10,DURANGO,TEPEHUANES,0,0,0
10036,10,DURANGO,TLAHUALILO,0,0,0
10037,10,DURANGO,TOPIA,0,0,0
10038,10,DURANGO,VICENTE GUERRERO,0,0,0
10039,10,DURANGO,NUEVO IDEAL,0,0,0
10997,10,DURANGO,NO ESPECIFICADO,,,
11001,11,GUANAJUATO,ABASOLO,0,0,0
11002,11,GUANAJUATO,ACÁMBARO,0,0,0
11003,11,GUANAJUATO,SAN MIGUEL DE ALLENDE,0,0,0
11004,11,GUANAJUATO,APASEO EL ALTO,0,0,0
11005,11,GUANAJUATO,APASEO EL GRANDE,0,0,0
11006,11,GUANAJUATO,ATARJEA,0,0,0
11007,11,GUANAJUATO,CELAYA,0,0,0
11008,11,GUANAJUATO,MANUEL DOBLADO,0,0,0
11009,11,GUANAJUATO,COMONFORT,0,0,0
11010,11,GUANAJUATO,CORONEO,0,0,0
11011,11,GUANAJUATO,CORTAZAR,0,0,0
11012,11,GUANAJUATO,CUERÁMARO,0,0,0
11013,11,GUANAJUATO,DOCTOR MORA,0,0,0
11014,11,GUANAJUATO,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,0,0,0
11015,11,GUANAJUATO,GUANAJUATO,0,0,0
11016,11,GUANAJUATO,HUANÍMARO,0,0,0
11017,11,GUANAJUATO,IRAPUATO,0,0,0
11018,11,GUANAJUATO,JARAL DEL PROGRESO,0,0,0
11019,11,GUANAJUATO,JERÉCUARO,0,0,0
11020,11,GUANAJUATO,LEÓN,0,0,0
11021,11,GUANAJUATO,MOROLEÓN,0,0,0
11022,11,GUANAJUATO,OCAMPO,0,0,0
11023,11,GUANAJUATO,PÉNJAMO,0,0,0
11024,11,GUANAJUATO,PUEBLO NUEVO,0,0,0
11025,11,GUANAJUATO,PURÍSIMA DEL RINCÓN,0,0,0
11026,11,GUANAJUATO,ROMITA,0,0,0
11027,11,GUANAJUATO,SALAMANCA,0,0,0
11028,11,GUANAJUATO,SALVATIERRA,0,0,0
11029,11,GUANAJUATO,SAN DIEGO DE LA UNIÓN,0,0,0
11030,11,GUANAJUATO,SAN FELIPE,0,0,0
11031,11,GUANAJUATO,SAN FRANCISCO DEL RINCÓN,0,0,0
11032,11,GUANAJUATO,SAN JOSÉ ITURBIDE,0,0,0
11033,11,GUANAJUATO,SAN LUIS DE LA PAZ,0,0,0
11034,11,GUANAJUATO,SANTA CATARINA,0,0,0
11035,11,GUANAJUATO,SANTA CRUZ DE JUVENTINO ROSAS,0,0,0
11036,11,GUANAJUATO,SANTIAGO MARAVATÍO,0,0,0
11037,11,GUANAJUATO,SILAO DE LA VICTORIA,0,0,0
11038,11,GUANAJUATO,TARANDACUAO,0,0,0
11039,11,GUANAJUATO,TARIMORO,0,0,0
11040,11,GUANAJUATO,TIERRA BLANCA,0,0,0
11041,11,GUANAJUATO,URIANGATO,0,0,0
11042,11,GUANAJUATO,VALLE DE SANTIAGO,0,0,0
11043,11,GUANAJUATO,VICTORIA,0,0,0
11044,11,GUANAJUATO,VILLAGRÁN,0,0,0
11045,11,GUANAJUATO,XICHÚ,0,0,0
11046,11,GUANAJUATO,YURIRIA,0,0,0
11997,11,GUANAJUATO,NO ESPECIFICADO,,,
12001,12,GUERRERO,ACAPULCO DE JUÁREZ,0,0,0
12002,12,GUERRERO,AHUACUOTZINGO,0,0,0
12003,12,GUERRERO,AJUCHITLÁN DEL PROGRESO,0,0,0
12004,12,GUERRERO,ALCOZAUCA DE GUERRERO,0,0,0
12005,12,GUERRERO,ALPOYECA,0,0,0
12006,12,GUERRERO,APAXTLA,0,0,0
12007,12,GUERRERO,ARCELIA,0,0,0
12008,12,GUERRERO,ATENANGO DEL RÍO,0,0,0
12009,12,GUERRERO,ATLAMAJALCINGO DEL MONTE,0,0,0
12010,12,GUERRERO,ATLIXTAC,0,0,0
12011,12,GUERRERO,ATOYAC DE ÁLVAREZ,0,0,0
12012,12,GUERRERO,AYUTLA DE LOS LIBRES,0,0,0
12013,12,GUERRERO,AZOYÚ,0,0,0
12014,12,GUERRERO,BENITO JUÁREZ,0,0,0
12015,12,GUERRERO,BUENAVISTA DE CUÉLLAR,0,0,0
12016,12,GUERRERO,COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA,0,0,0
12017,12,GUERRERO,COCULA,0,0,0
12018,12,GUERRERO,COPALA,0,0,0
12019,12,GUERRERO,COPALILLO,0,0,0
12020,12,GUERRERO,COPANATOYAC,0,0,0
12021,12,GUERRERO,COYUCA DE BENÍTEZ,0,0,0
12022,12,GUERRERO,COYUCA DE CATALÁN,0,0,0
12023,12,GUERRERO,CUAJINICUILAPA,0,0,0
12024,12,GUERRERO,CUALÁC,0,0,0
12025,12,GUERRERO,CUAUTEPEC,0,0,0
12026,12,GUERRERO,CUETZALA DEL PROGRESO,0,0,0
12027,12,GUERRERO,CUTZAMALA DE PINZÓN,0,0,0
12028,12,GUERRERO,CHILAPA DE ÁLVAREZ,0,0,0
12029,12,GUERRERO,CHILPANCINGO DE LOS BRAVO,0,0,0
12030,12,GUERRERO,FLORENCIO VILLARREAL,0,0,0
12031,12,GUERRERO,GENERAL CANUTO A. NERI,0,0,0
12032,12,GUERRERO,GENERAL HELIODORO CASTILLO,0,0,0
12033,12,GUERRERO,HUAMUXTITLÁN,0,0,0
12034,12,GUERRERO,HUITZUCO DE LOS FIGUEROA,0,0,0
12035,12,GUERRERO,IGUALA DE LA INDEPENDENCIA,0,0,0
12036,12,GUERRERO,IGUALAPA,0,0,0
12037,12,GUERRERO,IXCATEOPAN DE CUAUHTÉMOC,0,0,0
12038,12,GUERRERO,ZIHUATANEJO DE AZUETA,0,0,0
12039,12,GUERRERO,JUAN R. ESCUDERO,0,0,0
12040,12,GUERRERO,LEONARDO BRAVO,0,0,0
12041,12,GUERRERO,MALINALTEPEC,0,0,0
12042,12,GUERRERO,MÁRTIR DE CUILAPAN,0,0,0
12043,12,GUERRERO,METLATÓNOC,0,0,0
12044,12,GUERRERO,MOCHITLÁN,0,0,0
12045,12,GUERRERO,OLINALÁ,0,0,0
12046,12,GUERRERO,OMETEPEC,0,0,0
12047,12,GUERRERO,PEDRO ASCENCIO ALQUISIRAS,0,0,0
12048,12,GUERRERO,PETATLÁN,0,0,0
12049,12,GUERRERO,PILCAYA,0,0,0
12050,12,GUERRERO,PUNGARABATO,0,0,0
12051,12,GUERRERO,QUECHULTENANGO,0,0,0
12052,12,GUERRERO,SAN LUIS ACATLÁN,0,0,0
12053,12,GUERRERO,SAN MARCOS,0,0,0
12054,12,GUERRERO,SAN MIGUEL TOTOLAPAN,0,0,0
12055,12,GUERRERO,TAXCO DE ALARCÓN,0,0,0
12056,12,GUERRERO,TECOANAPA,0,0,0
12057,12,GUERRERO,TÉCPAN DE GALEANA,0,0,0
12058,12,GUERRERO,TELOLOAPAN,0,0,0
12059,12,GUERRERO,TEPECOACUILCO DE TRUJANO,0,0,0
12060,12,GUERRERO,TETIPAC,0,0,0
12061,12,GUERRERO,TIXTLA DE GUERRERO,0,0,0
12062,12,GUERRERO,TLACOACHISTLAHUACA,0,0,0
12063,12,GUERRERO,TLACOAPA,0,0,0
12064,12,GUERRERO,TLALCHAPA,0,0,0
12065,12,GUERRERO,TLALIXTAQUILLA DE MALDONADO,0,0,0
