COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
ubicageo_d,Municipio,SECC I 1.23,Numérico,5,0 al 32999
entidad_c,Entidad federativa,SECC I 1.23,Numérico,2,1 al 99
entifed1,Nombre de Entidad federativa,SECC I 1.23,Carácter,2500,
municip1,Nombre de Municipio,SECC I 1.23,Carácter,2500,
armatitt,Total,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armatis1,Armas de fuego - Subtotal,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati1,Armas de fuego - Largas,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati2,Armas de fuego - Cortas,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati4,Lanzagranadas,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati5,Lanzacohetes,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armatis2,Explosivos - Subtotal,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati6,Explosivos - Granadas,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati7,Explosivos - Minas,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armatis3,Municiones (cartuchos) - Subtotal,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati9,Municiones (cartuchos) - Trazadores,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati10,Municiones (cartuchos) - Perforantes,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati11,Municiones (cartuchos) - Postas,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati12,Municiones (cartuchos) - Otros,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati14,Casquillos,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armatis4,De fabricación artesanal - Subtotal,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati15,De fabricación artesanal - Armas de fuego,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati16,De fabricación artesanal - Municiones (cartuchos),SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
armati18,Otro tipo de armas,SECC I 1.23,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
