COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
numeral,Identificador o numeral del orden que guarda cada registro capturado dentro de la lista,SECC IV. 26,Carácter,4,0-5000
enticve1,Clave de Entidad federativa,SECC IV. 26,Carácter,2500,
entifed1,Nombre de Entidad federativa,SECC IV. 26,Carácter,2500,
municve1,Clave de Municipio o demarcación territorial,SECC IV. 26,Carácter,2500,
municip1,Nombre de Municipio o demarcación territorial,SECC IV. 26,Carácter,2500,
umflo1,Agaváceas - Agaves - Ejemplares o unidades,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo2,Agaváceas - Agaves - Kilogramos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo3,Agaváceas - Agaves - Metros cúbicos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo4,Agaváceas - Agaves - Otra unidad de medida,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo5,Agaváceas - Bacanoras - Ejemplares o unidades,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo6,Agaváceas - Bacanoras - Kilogramos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo7,Agaváceas - Bacanoras - Metros cúbicos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo8,Agaváceas - Bacanoras - Otra unidad de medida,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo9,Agaváceas - Magueyes - Ejemplares o unidades,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo10,Agaváceas - Magueyes - Kilogramos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo11,Agaváceas - Magueyes - Metros cúbicos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo12,Agaváceas - Magueyes - Otra unidad de medida,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo13,Agaváceas - Mezcales - Ejemplares o unidades,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo14,Agaváceas - Mezcales - Kilogramos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo15,Agaváceas - Mezcales - Metros cúbicos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo16,Agaváceas - Mezcales - Otra unidad de medida,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo17,Agaváceas - Otro tipo de agaváceas - Ejemplares o unidades,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo18,Agaváceas - Otro tipo de agaváceas - Kilogramos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umflo19,Agaváceas - Otro tipo de agaváceas - Metros cúbicos,SECC IV. 26,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
